path	title	labels
bugs/dan/0-add-mutex-for-factory	The libfactory interface needs a C-level mutex	Engine, threads, bug
bugs/dan/0-attribute-constructor	Generated C code uses non-ANSI __attribute__ ((constructor))	Interpreter
bugs/dan/0-dictionaryPath	OutputDictionary should not be on dictionaryPath while a package loads	Core, bug
bugs/dan/0-engine-tower-rings	No top-level interface to the engine's tower rings	Engine, feature request
bugs/dan/0-errorDepth	errorDepth could match loadDepth sooner, to improve error messages	Interpreter
bugs/dan/0-isSurjective-RingMap	Add a method for (isSurjective, RingMap)	Core, feature request
bugs/dan/0-monomialIdeal	Unhelpful error message from monomialIdeal {}	Core, bug
bugs/dan/0-mutable-lists	Assigning to a MutableList is quadratic in the number of elements
bugs/dan/0-needsPackage-unadorned	needsPackage should be able to load a package without its unadorned symbols	Core, feature request
bugs/dan/0-precision-and-equality	Inconsistent equality comparing a low-precision RR against double literals	Interpreter, bug
bugs/dan/0-rename-minimalPresentation	Rename minimalPresentation to minimizePresentation	Core, under discussion
bugs/dan/0-newPackage	Package option processing differs between loadPackage and load	Core, bug
bugs/dan/0-inverse-matrix	inverse of a non-square matrix returns a matrix instead of erroring	Core, Linear Algebra, bug
bugs/dan/0-backtrace-from-debugger	Provide a way to produce a backtrace when returning from the debugger	Interpreter, feature request
bugs/dan/0-doc-option-names-in-packages	Document that option names in packages must be exported	Documentation
bugs/dan/0-indexed-variables	R_0..R_3 yields IndexedVariables after another ring reuses the same symbols	Core, bug
bugs/dan/0-doc-Keywords	Documentation nodes should be able to declare search aliases, e.g. Normalform for %	Documentation, feature request
bugs/dan/0-quotient-for-non-free-modules	Matrix % Matrix requires free modules while quotientRemainder does not	Core, bug
bugs/dan/0-makefile-d	Generate the d/*.o dependencies on e/*.hpp instead of maintaining them by hand	build issue
bugs/dan/0-package-doc	Replace the export list at the bottom of a package page with a link to its table of contents
bugs/dan/0-installing-methods-functions-on-function-closures	Installing a method on a plain function closure should be an error	Interpreter, bug
bugs/dan/0-methods-with-options	A method written (opts)->(m,n)-> with a return type is silently not installed	Interpreter, bug
bugs/dan/0-check-for-integer-usage	Build M2 with -fsanitize=integer to find integer overflow bugs	build issue, Infrastructure
bugs/dan/0-gb-strategies	Let a ring register a Groebner basis strategy for gb to find	Core, Gröbner bases, feature request
bugs/dan/0-reloading-packages	Reloading a package silently discards the Configuration it was loaded with	Core, bug
bugs/dan/0-sprintf-buffer-overflow	Audit the remaining bare sprintf calls in c/ and d/ for buffer overflows	Interpreter, bug
bugs/dan/0-typical-values	Document how to declare the typical value of a binary operator method	Documentation
bugs/dan/0-vector-empty-list	There is no way to construct an empty vector	Core, feature request
bugs/dan/0-when	scc1 emits the else clause of an exhaustive when as unreachable code	Interpreter, bug
bugs/dan/0-utf-8-in-doc-filenames	Documentation html filenames still contain raw UTF-8	Documentation, bug
bugs/dan/0-sort-doc	sort(List) advertises DegreeOrder and MonomialOrder, which it ignores
bugs/dan/0-symmetricPower	symmetricPower of a matrix ignores relations, disagreeing with the module version	Core, bug
bugs/dan/0-SCSCP-checks	Automate the SCSCP checks against a server bound to 127.0.0.1	Interfaces
bugs/dan/0-M2-compute-process	Nothing replaced dumpdata: consider an M2 compute process over pipes	Interpreter, feature request
bugs/dan/0-dependent-packages	configure should summarize the external programs it found, for distribution packagers
bugs/dan/0-utf8-and-column-number	Error messages report column numbers in bytes, not characters
bugs/dan/0-on	"on" should trace the individual methods of a method function	Interpreter, feature request
bugs/dan/0-debugging-loadPackage	"break" does not return to top level from a file load, contrary to its documentation	Interpreter, bug
bugs/dan/0-package-garbage-collection	Reloading a package leaks entries into the Attributes table	Core, Memory Leak, bug
bugs/dan/0-needsPackage	Convert the remaining package-scope needsPackage calls to PackageImports or PackageExports	Core
bugs/dan/0-Schubert2-projectiveBundle	Schubert2: eliminate the unneeded variables in a projective bundle's intersection ring	feature request
bugs/dan/0.1-random-ring-elements	Add random(Sequence, Ring) to Core for generating several random elements at once	Core, feature request
bugs/dan/0.1-doc-remainder-links	"methods for normal forms and remainder" should link to // for the quotient half	Documentation
bugs/dan/0.5-alternate-stack	Catch SIGSEGV on an alternate stack with sigaltstack	Interpreter, feature request
bugs/dan/0.5-Benchmark-package	Benchmark: the yang-gb1 benchmark asserts nothing about its result	good beginners' project
bugs/dan/0.5-compare-CC-CC	Comparing complex numbers with < or ? silently answers instead of erroring	Interpreter, bug
bugs/dan/0.5-document-new-methods	"making new functions with optional arguments" should link to "method"	Documentation
bugs/dan/0.5-hh-dispatch	hh cannot dispatch on the classes of more than one argument	feature request
bugs/dan/0.5-SafeC-bugs	scc1: a when whose branches all return is not recognized as returning	Interpreter, bug
bugs/dan/0.5-select-doc	The "select" documentation lists See also before Ways to use	Documentation
bugs/dan/0.5-temporaryDirectory	Add temporaryDirectory, alongside a way to remove a directory and its contents	Core, feature request
bugs/dan/0.8-documentation-suggestion-link	Documentation pages carry no link for reporting a problem with them	Documentation, feature request
bugs/dan/0.9-discrete-log	Hook rawDiscreteLog into log for elements of a finite field	Core, feature request
bugs/dan/0.9-toField	gens of a ring made by toField returns the empty list	Core, bug
bugs/dan/1-ambient	ambient of a non-quotient ring should return the ring rather than erroring	Core, feature request
bugs/dan/1-application-dir-info-dir	installPackage does not create or update the info dir index beside the .info file it writes	Core, bug
bugs/dan/1-building-doc-databases	A missing documentation database is not rebuilt automatically	Core, feature request
bugs/dan/1-Ring_Sequence	Ring _ Sequence, so that R_(1..3) returns those generators	Core, feature request
bugs/dan/1-caching-idea	The documented way to erase a cached Gröbner basis is a silent no-op, and there is no supported replacement	Core, Documentation, bug
bugs/dan/1-debugger-and-empty-frames	The debugger skips a calling function that declares no local variables, contrary to the documentation	Interpreter, bug
bugs/dan/1-doc-hilbertSeries	hilbertSeries documentation does not mention numerator or denominator	Documentation
bugs/dan/1-doc-rowMult	The mutable-matrix row and column operations return the matrix but document no output	Documentation
bugs/dan/1-d-translator-crash	scc1 fails with an assertion when the input file is named string.d	Interpreter, bug
bugs/dan/1-directSum	directSum(List, Function), so that directSum(x, f) means directSum apply(x, f)	Core, feature request
bugs/dan/1-TAGS	Use etags --include to build a single TAGS file spanning all six source directories	build issue, feature request
