issue	severity	kind	type	reach	readiness	age	settled	pr
9	0		1	2	0	0	0	
44	3	hang	2	3	0	0	0	
58	0		2	3	3	0	0	
62	0		2	2	0	0	0	
69	0		2	2	1	0	0	
72	0		1	2	0	0	0	
73	0		0	2	0	0	0	
74	0		0	2	0	0	0	
94	0		2	3	1	0	0	
101	0		2	2	3	0	0	
104	0		0	3	0	0	0	
105	0		1	3	2	0	0	
113	0		2	3	3	0	0	
114	0		2	1	3	0	0	
131	0		1	2	2	0	0	
143	0		2	1	0	0	0	
145	0		0	2	1	0	0	
150	0		2	3	0	0	0	
157	0		2	3	0	0	0	
158	0		2	3	0	0	0	
175	0		1	1	0	0	0	
187	0		1	1	0	0	0	
212	0		1	1	0	0	0	
234	0		2	1	0	0	0	
241	0		1	1	0	0	0	
247	0		0	1	0	0	0	
248	0		1	1	0	0	0	
252	0		1	3	0	0	0	
254	0		0	2	0	0	0	
256	0		2	3	0	0	0	
257	0		1	2	0	0	0	
269	0		0	2	0	0	0	
273	0		1	2	1	0	0	
278	0		1	3	2	0	0	
279	0		1	2	2	0	0	
283	0		0	2	1	0	-2	
292	3	hang	0	2	3	0	0	
293	0		0	2	0	0	0	
300	0		1	2	1	0	-3	
309	0		0	1	2	0	0	
330	0		1	1	0	0	0	
332	0		2	2	1	0	0	
350	3	crash	2	3	2	0	0	
364	0		2	2	2	0	0	
386	0		0	2	1	0	0	
419	0		0	2	0	0	0	
431	0		2	2	2	0	0	
440	0		1	1	0	0	0	
453	0		1	1	0	0	0	
456	0		0	2	1	0	0	
457	0		1	1	0	0	0	
479	0		2	2	0	0	0	
485	0		1	2	0	0	0	
486	0		1	2	0	0	0	
488	2	leak	2	2	1	0	0	
498	0		0	3	2	0	0	
502	0		1	1	0	0	0	
504	0		1	1	0	0	0	
507	0		1	1	2	0	0	
519	0		0	1	0	0	0	
521	0		0	1	0	0	0	
527	0		2	3	0	0	0	
540	0		2	2	0	0	0	
548	0		2	1	0	0	0	
567	0		0	2	1	0	0	
568	0		2	3	1	0	0	
581	0		0	2	1	0	0	
594	0		1	2	0	0	0	
607	0		2	3	1	0	0	
611	0		1	2	0	0	0	
613	0		1	2	2	0	0	
622	0		2	3	1	0	0	
625	0		0	1	2	0	0	
647	0		2	3	1	0	-2	
650	0		2	2	3	0	0	2918
659	0		2	2	2	0	0	
662	0		2	3	2	0	0	
666	0		0	2	0	0	-3	
676	0		0	2	1	0	0	
684	0		0	2	0	0	0	
686	0		1	3	2	0	0	
692	0		2	2	3	0	0	
701	0		1	1	0	0	0	
708	0		2	2	1	0	0	
715	0		2	1	0	0	0	
718	0		2	1	1	0	0	
728	0		2	1	0	0	0	
732	0		2	3	1	0	0	
736	0		0	3	1	0	0	
741	0		0	3	2	0	0	
747	4	wrong-answer	2	3	2	0	0	
798	0		1	2	2	0	0	
799	0		2	2	0	0	0	
815	0		2	2	3	0	0	
837	0		2	3	2	0	0	
840	0		0	2	0	0	0	
868	0		0	1	0	0	0	
872	0		0	3	0	0	0	
883	0		1	1	2	0	-2	
917	0		0	2	0	0	0	
927	0		2	2	1	0	0	
936	0		2	3	1	0	0	
974	0		0	2	0	0	0	
976	0		0	2	0	0	0	
982	0		2	1	0	0	0	
983	3	crash	1	2	2	0	0	
984	0		1	2	0	0	0	
985	0		1	2	0	0	0	
986	0		1	3	0	0	0	4347
992	0		1	2	2	0	0	
996	0		0	3	1	0	0	
1011	0		1	2	2	0	0	
1012	0		2	3	1	0	0	
1013	0		1	3	0	0	0	
1026	0		2	3	0	0	0	
1031	0		2	3	1	0	0	924
1032	0		2	2	2	0	0	
1039	0		0	2	1	0	0	
1051	0		0	2	3	0	-2	1141
1054	0		0	2	2	0	0	
1056	0		2	2	2	0	0	
1060	0		2	3	1	0	0	
1064	3	crash	2	1	0	0	0	
1068	0		0	2	2	0	0	
1069	0		0	2	0	0	-3	
1082	0		0	2	2	0	0	
1086	0		2	2	0	0	-2	
1091	0		1	1	0	0	0	4385
1124	0		1	1	2	0	0	1190
1133	0		1	2	2	0	0	
1135	0		0	2	0	0	-3	
1144	0		1	1	0	0	0	
1145	0		2	1	2	0	0	
1146	3	hang	2	2	1	0	0	
1147	0		1	1	0	0	0	
1151	0		1	2	2	0	0	2138,2691
1153	0		0	3	0	0	0	
1155	0		2	1	1	0	0	
1158	0		1	1	0	0	0	
1169	0		1	2	0	0	0	
1183	0		2	3	3	0	0	
1184	0		0	2	2	0	0	
1187	0		1	2	2	0	0	
1197	0		0	1	2	0	0	
1203	0		0	2	0	0	0	
1206	0		2	2	0	0	0	
1207	0		0	2	0	0	0	
1213	0		1	1	0	0	0	
1215	0		0	1	0	0	0	
1217	0		0	2	0	0	0	
1223	0		1	2	1	0	-2	
1226	0		0	2	0	0	0	
1238	0		2	2	1	0	0	
1246	0		0	3	0	0	0	
1254	0		1	1	2	0	0	
1265	0		1	1	0	0	0	4153
1277	0		0	1	2	0	0	
